Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,PitStopNextLap,LapsRemaining
2,33.0,2.0,2,11.0,0,-0.24833675367202662,-0.23409884974975817,0.15638284574538228,-0.1063504774707631,315.0,329.0,310.0,331.0,13.0,2832.692,29.9,41.0,42.6,1.1,174,1,0,18.0
2,34.0,2.0,2,12.0,0,-0.31840451891848176,-0.21521622336431304,-0.22581538439584645,-0.24160807695684436,309.0,313.0,309.0,316.0,12.0,2919.565,29.8,42.0,42.5,1.5,164,1,0,17.0
2,35.0,2.0,2,13.0,0,-0.34565309429210184,-0.19033911241205886,-0.4776685533906488,-0.30542680347492535,313.0,311.0,309.0,314.0,12.0,3006.186,29.8,41.0,42.6,0.8,232,1,0,16.0
2,36.0,2.0,2,14.0,0,-0.27363900223324783,-0.2263060198129077,-0.12198118314360276,-0.09777781271460265,311.0,312.0,309.0,317.0,12.0,3092.709,29.9,42.0,42.5,1.2,196,1,0,15.0
2,37.0,2.0,2,15.0,0,-0.33953606716741,-0.19963056349061212,-0.5417364648016066,-0.22732030236324363,312.0,324.0,313.0,319.0,12.0,3179.491,30.0,43.0,42.5,1.8,208,1,0,14.0
2,38.0,2.0,2,16.0,0,-0.18716648242512401,-0.20112918463231383,0.3795159165214834,-0.09777781271460265,313.0,323.0,311.0,332.0,12.0,3266.036,30.0,40.0,42.8,1.6,186,1,0,13.0
2,39.0,2.0,2,17.0,0,-0.21830771142354982,-0.13518985439742515,-0.14407356638876417,-0.18826705180740277,312.0,323.0,313.0,327.0,12.0,3353.129,30.0,40.0,42.8,1.1,145,1,0,12.0
2,40.0,2.0,2,18.0,0,0.02665142025154787,-0.18584324898695367,1.1593770450755547,0.24989136906300383,315.0,321.0,310.0,348.0,12.0,3440.11,30.0,40.0,42.8,1.7,205,1,0,11.0
2,41.0,2.0,2,19.0,0,-0.1565813468016727,-0.13908626936584984,0.07685026606281849,-0.059677080464999574,308.0,321.0,310.0,319.0,12.0,3527.972,30.1,41.0,42.9,2.0,187,1,0,10.0
2,42.0,2.0,2,20.0,0,-0.2508391738594,-0.220011811017759,0.24696161705053069,-0.19874475317604218,309.0,325.0,314.0,327.0,11.0,3615.175,30.3,39.0,42.5,1.3,188,1,0,9.0
2,43.0,2.0,2,21.0,0,-0.003655668684416185,-0.22061125947444052,2.522477091301802,-0.3311447977434033,322.0,308.0,308.0,351.0,10.0,3702.039,30.2,39.0,42.5,1.6,168,1,0,8.0
2,44.0,2.0,2,22.0,0,-0.22359059848577992,-0.17475345253835792,-0.08884260827586458,-0.10444544085828074,306.0,306.0,307.0,310.0,10.0,3789.792,30.1,39.0,42.5,1.6,144,1,0,7.0
2,45.0,2.0,2,23.0,0,-0.24388800667225435,-0.11420915841359672,-0.2169784310977803,-0.3111419133123657,313.0,308.0,307.0,319.0,10.0,3876.754,30.0,40.0,41.7,1.1,161,1,0,6.0
2,46.0,2.0,2,24.0,0,-0.26696588173358543,-0.1429826843342756,-0.3539512072177622,-0.23970304034436202,307.0,309.0,308.0,319.0,10.0,3963.643,30.0,41.0,41.6,1.5,181,1,0,5.0
2,47.0,2.0,2,25.0,0,-0.28642914985759815,-0.18494407630193244,-0.14628280471327482,-0.2625634796941232,308.0,310.0,308.0,311.0,10.0,4050.449,30.0,41.0,41.2,1.1,176,1,0,4.0
2,48.0,2.0,2,26.0,0,-0.21163459092388745,-0.17595234945171995,-0.07116870167974017,-0.06729722691492222,313.0,309.0,309.0,312.0,10.0,4137.185,30.1,41.0,41.2,1.7,161,1,0,3.0
2,49.0,2.0,2,27.0,0,-0.17576656823820208,-0.18284600670354917,0.17847522899054366,-0.03014901297156032,313.0,308.0,308.0,311.0,10.0,4224.19,30.0,41.0,41.0,1.2,179,1,0,2.0
